time,value
2025-03-30 05:00:00+00:00,34.5
2025-03-30 05:15:00+00:00,34.28333333333333
2025-03-30 05:30:00+00:00,34.06666666666667
2025-03-30 05:45:00+00:00,33.85
2025-03-30 06:00:00+00:00,33.63333333333333
2025-03-30 06:15:00+00:00,33.416666666666664
2025-03-30 06:30:00+00:00,33.2
2025-03-30 06:45:00+00:00,32.983333333333334
2025-03-30 07:00:00+00:00,32.766666666666666
2025-03-30 07:15:00+00:00,32.55
2025-03-30 07:30:00+00:00,32.333333333333336
2025-03-30 07:45:00+00:00,32.11666666666667
2025-03-30 08:00:00+00:00,31.9
2025-03-30 08:15:00+00:00,31.683333333333334
2025-03-30 08:30:00+00:00,31.46666666666667
2025-03-30 08:45:00+00:00,31.25
2025-03-30 09:00:00+00:00,31.033333333333335
2025-03-30 09:15:00+00:00,30.816666666666666
2025-03-30 09:30:00+00:00,30.6
2025-03-30 09:45:00+00:00,30.383333333333333
2025-03-30 10:00:00+00:00,30.166666666666668
2025-03-30 10:15:00+00:00,29.95
2025-03-30 10:30:00+00:00,29.733333333333334
2025-03-30 10:45:00+00:00,29.516666666666666
2025-03-30 11:00:00+00:00,29.3
2025-03-30 11:15:00+00:00,29.3
2025-03-30 11:30:00+00:00,29.3
2025-03-30 11:45:00+00:00,29.3
2025-03-30 12:00:00+00:00,29.3
2025-03-30 12:15:00+00:00,29.3
2025-03-30 12:30:00+00:00,29.3
2025-03-30 12:45:00+00:00,29.3
2025-03-30 13:00:00+00:00,29.3
2025-03-30 13:15:00+00:00,29.3
2025-03-30 13:30:00+00:00,29.3
2025-03-30 13:45:00+00:00,29.3
2025-03-30 14:00:00+00:00,29.3
2025-03-30 14:15:00+00:00,29.3
2025-03-30 14:30:00+00:00,29.3
2025-03-30 14:45:00+00:00,29.3
2025-03-30 15:00:00+00:00,29.3
2025-03-30 15:15:00+00:00,29.3
2025-03-30 15:30:00+00:00,29.3
2025-03-30 15:45:00+00:00,29.3
2025-03-30 16:00:00+00:00,29.3
2025-03-30 16:15:00+00:00,29.3
2025-03-30 16:30:00+00:00,29.3
2025-03-30 16:45:00+00:00,29.3
2025-03-30 17:00:00+00:00,29.3
2025-03-30 17:15:00+00:00,29.400000000000002
2025-03-30 17:30:00+00:00,29.5
2025-03-30 17:45:00+00:00,29.6
2025-03-30 18:00:00+00:00,29.7
2025-03-30 18:15:00+00:00,29.8
2025-03-30 18:30:00+00:00,29.9
2025-03-30 18:45:00+00:00,30.0
2025-03-30 19:00:00+00:00,30.1
2025-03-30 19:15:00+00:00,30.2
2025-03-30 19:30:00+00:00,30.3
2025-03-30 19:45:00+00:00,30.4
2025-03-30 20:00:00+00:00,30.5
2025-03-30 20:15:00+00:00,30.6
2025-03-30 20:30:00+00:00,30.7
2025-03-30 20:45:00+00:00,30.8
2025-03-30 21:00:00+00:00,30.9
2025-03-30 21:15:00+00:00,31.0
2025-03-30 21:30:00+00:00,31.1
2025-03-30 21:45:00+00:00,31.2
2025-03-30 22:00:00+00:00,31.3
2025-03-30 22:15:00+00:00,31.4
2025-03-30 22:30:00+00:00,31.5
2025-03-30 22:45:00+00:00,31.599999999999998
2025-03-30 23:00:00+00:00,31.7
2025-03-30 23:15:00+00:00,32.670833333333334
2025-03-30 23:30:00+00:00,33.641666666666666
2025-03-30 23:45:00+00:00,34.6125
2025-03-31 00:00:00+00:00,35.583333333333336
2025-03-31 00:15:00+00:00,36.55416666666667
2025-03-31 00:30:00+00:00,37.525
2025-03-31 00:45:00+00:00,38.49583333333334
2025-03-31 01:00:00+00:00,39.46666666666667
2025-03-31 01:15:00+00:00,40.4375
2025-03-31 01:30:00+00:00,41.40833333333333
2025-03-31 01:45:00+00:00,42.37916666666666
2025-03-31 02:00:00+00:00,43.35
2025-03-31 02:15:00+00:00,44.32083333333333
2025-03-31 02:30:00+00:00,45.29166666666667
2025-03-31 02:45:00+00:00,46.2625
2025-03-31 03:00:00+00:00,47.233333333333334
2025-03-31 03:15:00+00:00,48.204166666666666
2025-03-31 03:30:00+00:00,49.175
2025-03-31 03:45:00+00:00,50.145833333333336
2025-03-31 04:00:00+00:00,51.11666666666667
2025-03-31 04:15:00+00:00,52.087500000000006
2025-03-31 04:30:00+00:00,53.05833333333334
2025-03-31 04:45:00+00:00,54.02916666666667
